linkID,eecaCircuit,avgPeakDemandW,avgDemandW,LoadFactor,CLF
rf_01,Heat Pump or Heating,2049.78943739242,845.685199709416,0.412571742386004,0.276691880256667
rf_01,Hot water,135.691952093398,185.336540402301,1.36586243725591,0.0835774145534716
rf_01,Lighting,213.489304222889,108.663607854675,0.508988533407873,0.224278630359783
rf_01,Other,342.91816804098,296.317248281552,0.864104838697672,0.13210810312508
rf_01,Oven,70.2095938003221,35.6189735688322,0.507323453118579,0.225014732592838
rf_01,Total,2812.09845555,1471.62156981678,0.523317939637697,0.21813746958605
rf_02,Heat Pump or Heating,,201.023203326239,,
rf_02,Hot water,,346.996287373057,,
rf_02,Lighting,,31.3745561813699,,
rf_02,Other,,429.15993013198,,
rf_02,Total,,1008.55397701265,,
rf_06,Hot water,462.728256630944,405.741183939535,0.876845487875922,0.130188559694916
rf_06,Lighting,416.236774503181,161.382821947419,0.387718798128889,0.294427950598372
rf_06,Other,505.421636606159,437.389856963982,0.865395988784727,0.131911000999508
rf_06,Oven,144.911537778905,24.0240441814375,0.16578420565857,0.688577362892179
rf_06,Total,1539.34929518188,1049.31690110639,0.681662637837118,0.167465905867691
rf_07,Other,956.671448878311,501.515963737769,0.524230094172656,0.217757912814435
rf_07,Oven,220.41396736926,103.467900768141,0.469425336348134,0.243180847522242
rf_07,Total,1177.08541624757,604.98386450591,0.513967683360259,0.222105892719206
rf_08,Heat Pump or Heating,466.730997737243,66.7092612720898,0.14292871396051,0.798686617813497
rf_08,Hot water,761.839495585541,315.99868577372,0.414783806306664,0.275216267862573
rf_08,Other,817.901403312233,700.203817975434,0.85609807629604,0.133343660384628
rf_08,Oven,171.722619245933,48.676596310516,0.283460597819113,0.402719997134838
rf_08,Total,2218.19451588095,1131.58836133176,0.510139373815174,0.22377267272632
rf_09,Total,1977.34943868313,620.264522624218,0.313684830050727,0.363917028193847
rf_10,Heat Pump or Heating,300.845950483092,53.3913756748072,0.177470813846996,0.643233941779126
rf_10,Other,995.94534956133,494.160075713268,0.496171879241088,0.230071988997355
rf_10,Oven,97.8705036231884,40.5249100074021,0.414066634043564,0.275692948322762
rf_10,Total,1394.66180366761,588.076361395477,0.421662341256485,0.270726692835287
rf_11,Hot water,52.5906443602694,87.1673720356917,1.6574691771897,0.0688732271541285
rf_11,Other,2037.57638299663,528.694786239797,0.259472376423137,0.439951461173627
rf_11,Total,2090.1670273569,615.862158275488,0.294647341678847,0.387430107093846
rf_12,Hot water,587.541555555556,405.28037217368,0.689790140529658,0.165492726605077
rf_12,Other,356.309166666667,253.300487367102,0.710900844165115,0.160578302977846
rf_12,Oven,540.638685185185,86.421740586514,0.159851196288168,0.714134481269455
rf_12,Total,1484.48940740741,745.002600127297,0.501857808085279,0.227465328430547
rf_13,Heat Pump or Heating,972.101109903382,179.937719944289,0.185101856289593,0.616715863524114
rf_13,Hot water,183.670930756844,161.183058500274,0.877564336588782,0.130081916939891
rf_13,Other,1832.79736070853,983.595585994408,0.536663576170889,0.212712873036873
rf_13,Oven,461.635305555556,115.74092855624,0.250719403744373,0.455310795401948
rf_13,Total,3450.20470692432,1440.57506320444,0.417533214859198,0.273404000158523
rf_15b,Hot water,555.524579755892,417.384299284685,0.75133363040046,0.151936831418963
rf_15b,Other,1547.45126277658,823.962740356328,0.532464420803729,0.214390383059286
rf_15b,Oven,61.3311590909091,31.6986210200078,0.516843664621143,0.220869982464099
rf_15b,Total,2164.30700162338,1273.17821642052,0.588261376720378,0.194055322445238
rf_16,Hot water,,266.391770024318,,
rf_16,Other,,238.914432174127,,
rf_16,Total,,505.306202198445,,
rf_17a,Heat Pump or Heating,238.794359903382,30.8503083060089,0.129191947073169,0.883609650041887
rf_17a,Hot water,0.00036231884057971,0.000250896624553735,0.692474683768309,0.164851154587114
rf_17a,Other,1114.94540812927,441.007758074296,0.39554201924043,0.288604612376627
rf_17a,Total,1353.74013035149,471.843922436433,0.34854837487452,0.327516234102796
rf_18,Hot water,661.814214814815,334.976778964074,0.506149265859763,0.225536731635171
rf_18,Other,2478.7863962963,990.689453357891,0.399667133415828,0.285625816078255
rf_18,Oven,140.7802,40.9343737006952,0.290767975188948,0.392599119856207
rf_18,Total,3281.38081111111,1366.60060602266,0.416471200597993,0.274101188695982
rf_19,Heat Pump or Heating,17.6019669887279,1.73828189747105,0.0987549799737856,1.15594424880502
rf_19,Other,1507.5604794686,585.626643954812,0.388459801069633,0.293866317253995
rf_19,Oven,2.60543156199678,0.301453575701728,0.11570197432885,0.986631834104215
rf_19,Total,1527.76787801932,588.178168562467,0.384991841381697,0.296513429302452
rf_20,Hot water,745.623981481482,262.293417077003,0.351777066713776,0.324510213835045
rf_20,Other,424.022688888889,200.066430624226,0.47182954088726,0.241941721001375
rf_20,Oven,583.576840740741,281.30650648424,0.482038502636902,0.236817703393168
rf_20,Total,1753.22351111111,743.666354185469,0.424170876943219,0.269125622117696
rf_21,Other,907.270683172303,451.071793853013,0.497174440020287,0.229608044888419
rf_21,Oven,11.6399339774557,23.5168177639885,2.02035662827092,0.0565025251206516
rf_21,Total,918.910617149758,474.588611617001,0.516468743270223,0.221030319121994
rf_22,Hot water,608.799201260481,425.985547019765,0.699714365816822,0.163145501533746
rf_22,Lighting,881.997466405686,284.955939133336,0.323080224135549,0.353334071891873
rf_22,Other,1513.97984006608,693.300755695281,0.457932620598846,0.249283947040658
rf_22,Oven,119.757905769338,30.7738078718256,0.25696681713104,0.444241215329135
rf_22,Total,3124.53441350158,1435.01604972021,0.459273562012724,0.248556112486157
