linkID,year,season,r_dateTime_nz,Heat Pump or Heating,Hot water,Lighting,Other,Oven,Total,contribution_HW,contribution_HP,contribution_LI,contribution_OV,contribution_XX
rf_01,2014,Autumn,2014-05-13T07:00:00Z,5788.01433333333,872.267333333333,548.544333333333,1988.43233333334,5.45666666666667,9202.715,0.0947836951740147,0.62894638520625,0.0596067935748671,0.000592940959995683,0.216070185084873
rf_01,2014,Spring,2014-09-01T05:30:00Z,4214.99966666667,1753.946,340.545666666667,2231.59633333333,605.317333333333,9146.405,0.191763430550036,0.460836762276181,0.037232734245495,0.0661809020411116,0.243986170887177
rf_01,2014,Summer,2014-12-13T08:00:00Z,3731.30433333333,0,446.821666666667,2057.56566666667,2021.07433333333,8256.766,0,0.451908693226056,0.0541158204879086,0.244777959473882,0.249197526812153
rf_01,2014,Winter,2014-06-20T07:00:00Z,6330.77266666667,0,738.021666666667,2048.03866666669,1296.60866666667,10413.4416666667,0,0.60794239496548,0.0708720219780042,0.124512981218985,0.196672601837531
rf_01,2015,Autumn,2015-04-21T05:30:00Z,5325.02566666667,0,525.129,3101.92066666666,1159.52866666667,10111.604,0,0.526625218577257,0.0519333035589606,0.114673069343565,0.306768408520217
rf_01,2015,Spring,2015-09-20T07:00:00Z,6080.73566666667,1752.569,636.499,2502.1003333333,9.68433333333333,10981.5883333333,0.159591576992582,0.553720962951172,0.057960559135875,0.000881870002715153,0.227845030917656
rf_01,2015,Summer,2015-02-12T06:00:00Z,1723.105,1823.477,157.942333333333,1367.751,134.643,5206.91833333333,0.350202727076892,0.330926065993609,0.0303331689153309,0.0258584812321812,0.262679556781986
rf_01,2015,Winter,2015-08-09T06:30:00Z,7084.992,0,799.904333333333,2260.26033333337,0,10145.1566666667,0,0.698362009852318,0.0788459320654484,0,0.222792058082234
rf_02,2014,Autumn,2014-05-24T07:00:00Z,2439.50266666667,95.7166666666667,345.927666666667,580.531999999997,,3461.679,0.0276503588769111,0.704716603320721,0.099930602076815,,
rf_02,2014,Spring,2014-11-28T06:00:00Z,752.171333333333,645.718333333334,119.650666666667,2865.65666666667,,4383.197,0.14731674924338,0.171603360134927,0.027297579065387,,
rf_02,2014,Summer,2014-12-07T08:00:00Z,767.522173913044,2147.74173913044,64.1817391304348,262.029130434782,,3241.4747826087,0.662581659019406,0.236781781561586,0.0198001661079659,,
rf_02,2014,Winter,2014-07-26T07:30:00Z,453.763333333333,445.705333333333,253.770333333333,2152.72266666667,,3305.96166666667,0.13481866345496,0.137256078286852,0.0767614264533213,,
rf_02,2015,Autumn,2015-04-16T07:00:00Z,1517.3352,2138.1692,351.8716,3420.4932,,7427.8692,0.287857680638749,0.204275971903221,0.0473718088627624,,
rf_02,2015,Summer,2015-02-26T07:30:00Z,938.843,1752.034,226.226333333333,2860.82266666667,,5777.926,0.303228874859249,0.162487889252995,0.0391535532530761,,
rf_06,2014,Spring,2014-09-17T07:00:00Z,,0,1407.37033333333,2469.02066666667,2005.43333333333,5881.82433333333,0,,0.239274458667104,0.340954305957114,
rf_06,2014,Winter,2014-06-23T06:30:00Z,,0,1209.598,1093.65966666667,3231.005,5534.26266666667,0,,0.218565339748963,0.583818512890726,
rf_06,2015,Autumn,2015-04-19T07:00:00Z,,1516.934,1382.34733333333,668.362,2344.375,5912.01833333333,0.256584792954239,,0.23381986580443,0.396543932684016,
rf_06,2015,Spring,2015-09-02T06:30:00Z,,1963.061,990.743,2503.73066666666,1217.42766666667,6674.96233333333,0.294093195132637,,0.148426755167208,0.182387196492046,
rf_06,2015,Summer,2015-02-23T07:30:00Z,,1951.30266666667,1472.75966666667,711.47799999999,0,4135.54033333333,0.471837416489148,,0.356122670306445,0,
rf_06,2015,Winter,2015-08-25T06:30:00Z,,1971.901,1231.01666666667,2723.79133333333,425.517,6352.226,0.310426770080284,,0.193792958038122,0.0669870687850212,
rf_06,2016,Autumn,2016-04-22T06:30:00Z,,1970.854,461.230666666667,590.301999999992,2439.99066666667,5462.37733333333,0.360805173229825,,0.0844377161299489,0.446690244516247,
rf_06,2016,Spring,2016-09-02T05:30:00Z,,1985.42566666667,329.743333333333,,,4921.71733333333,0.403400994449635,,0.0669976170919202,,
rf_06,2016,Summer,2016-12-11T07:00:00Z,,1868.43633333333,271.988666666667,,,3855.65433333333,0.484596432097171,,0.0705428036728398,,
rf_06,2016,Winter,2016-07-23T06:00:00Z,,1967.20433333333,926.778333333333,755.233666666677,1558.85933333333,5208.07566666667,0.377721918658759,,0.177950243554449,0.299315799751244,
rf_06,2017,Autumn,2017-05-31T07:30:00Z,,922.848666666667,285.622333333333,715.27266666666,1219.32266666667,3143.06633333333,0.293614123532657,,0.0908737847191474,0.387940481476742,
rf_06,2017,Spring,2017-09-17T05:00:00Z,,1977.775,667.605333333334,,,4836.38733333333,0.408936436163577,,0.138038020390151,,
rf_06,2017,Summer,2017-12-12T05:30:00Z,,2000.63733333333,0,512.423000000001,2163.99966666667,4677.06,0.427755327777136,,0,0.462683751473505,
rf_06,2017,Winter,2017-08-13T06:00:00Z,,1963.49966666667,632.053,2137.16533333333,1725.00666666667,6457.72466666667,0.304054410495668,,0.097875495259579,0.267122981500089,
rf_06,2018,Autumn,2018-05-13T06:30:00Z,,1941.77933333333,261.992,2752.10133333334,1639.192,6595.06466666667,0.294429157480083,,0.0397254633944959,0.24854828312525,
rf_06,2018,Summer,2018-02-24T06:00:00Z,,1427.671,445.711666666667,2406.59366666667,945.167666666666,5225.144,0.273230938707144,,0.0853013173735818,0.18088834808508,
