linkID,year,season,r_dateTime_nz,Heat Pump or Heating,Hot water,Lighting,Oven,Total,XX_Other,contribution_HW,contribution_HP,contribution_LI,contribution_OV,contribution_XX
rf_01,2014,Autumn,2014-05-13T07:00:00Z,5788.01433333333,872.267333333333,548.544333333333,5.45666666666667,9202.715,4662.362,0.0947836951740147,0.62894638520625,0.0596067935748671,0.000592940959995683,0.216070185084873
rf_01,2014,Spring,2014-09-01T05:30:00Z,4214.99966666667,1753.946,340.545666666667,605.317333333333,9146.405,5538.7615,0.191763430550036,0.460836762276181,0.037232734245495,0.0661809020411116,0.243986170887177
rf_01,2014,Summer,2014-12-13T08:00:00Z,3731.30433333333,0,446.821666666667,2021.07433333333,8256.766,4184.33133333333,0,0.451908693226056,0.0541158204879086,0.244777959473882,0.249197526812153
rf_01,2014,Winter,2014-06-20T07:00:00Z,6330.77266666667,0,738.021666666667,1296.60866666667,10413.4416666667,5309.89450000002,0,0.60794239496548,0.0708720219780042,0.124512981218985,0.196672601837531
rf_01,2015,Autumn,2015-04-21T05:30:00Z,5325.02566666667,0,525.129,1159.52866666667,10111.604,6579.019,0,0.526625218577257,0.0519333035589606,0.114673069343565,0.306768408520217
rf_01,2015,Spring,2015-09-20T07:00:00Z,6080.73566666667,1752.569,636.499,9.68433333333333,10981.5883333333,6303.57449999999,0.159591576992582,0.553720962951172,0.057960559135875,0.000881870002715153,0.227845030917656
rf_01,2015,Summer,2015-02-12T06:00:00Z,1723.105,1823.477,157.942333333333,134.643,5206.91833333333,3260.625,0.350202727076892,0.330926065993609,0.0303331689153309,0.0258584812321812,0.262679556781986
rf_01,2015,Winter,2015-08-09T06:30:00Z,7084.992,0,799.904333333333,0,10145.1566666667,6141.46033333335,0,0.698362009852318,0.0788459320654484,0,0.222792058082234
rf_02,2014,Autumn,2014-05-24T07:00:00Z,2439.50266666667,95.7166666666667,345.927666666667,,3461.679,1212.19088888889,0.0276503588769111,0.704716603320721,0.099930602076815,,
rf_02,2014,Spring,2014-11-28T06:00:00Z,752.171333333333,645.718333333334,119.650666666667,,4383.197,1503.08488888889,0.14731674924338,0.171603360134927,0.027297579065387,,
rf_02,2014,Summer,2014-12-07T08:00:00Z,767.522173913044,2147.74173913044,64.1817391304348,,3241.4747826087,1142.52115942029,0.662581659019406,0.236781781561586,0.0198001661079659,,
rf_02,2014,Winter,2014-07-26T07:30:00Z,453.763333333333,445.705333333333,253.770333333333,,3305.96166666667,1142.141,0.13481866345496,0.137256078286852,0.0767614264533213,,
rf_02,2015,Autumn,2015-04-16T07:00:00Z,1517.3352,2138.1692,351.8716,,7427.8692,2569.78026666667,0.287857680638749,0.204275971903221,0.0473718088627624,,
rf_02,2015,Summer,2015-02-26T07:30:00Z,938.843,1752.034,226.226333333333,,5777.926,2146.43155555556,0.303228874859249,0.162487889252995,0.0391535532530761,,
rf_06,2014,Spring,2014-09-17T07:00:00Z,,0,1407.37033333333,2005.43333333333,5881.82433333333,2695.91411111111,0,,0.239274458667104,0.340954305957114,
rf_06,2014,Winter,2014-06-23T06:30:00Z,,0,1209.598,3231.005,5534.26266666667,2027.63988888889,0,,0.218565339748963,0.583818512890726,
rf_06,2015,Autumn,2015-04-19T07:00:00Z,,1516.934,1382.34733333333,2344.375,5912.01833333333,1560.84811111111,0.256584792954239,,0.23381986580443,0.396543932684016,
rf_06,2015,Spring,2015-09-02T06:30:00Z,,1963.061,990.743,1217.42766666667,6674.96233333333,2356.86811111111,0.294093195132637,,0.148426755167208,0.182387196492046,
rf_06,2015,Summer,2015-02-23T07:30:00Z,,1951.30266666667,1472.75966666667,0,4135.54033333333,893.308333333334,0.471837416489148,,0.356122670306445,0,
rf_06,2015,Winter,2015-08-25T06:30:00Z,,1971.901,1231.01666666667,425.517,6352.226,2274.76244444445,0.310426770080284,,0.193792958038122,0.0669870687850212,
rf_06,2016,Autumn,2016-04-22T06:30:00Z,,1970.854,461.230666666667,2439.99066666667,5462.37733333333,1280.33355555555,0.360805173229825,,0.0844377161299489,0.446690244516247,
rf_06,2016,Spring,2016-09-02T05:30:00Z,,1985.42566666667,329.743333333333,,4921.71733333333,1746.37055555556,0.403400994449635,,0.0669976170919202,,
rf_06,2016,Summer,2016-12-11T07:00:00Z,,1868.43633333333,271.988666666667,,3855.65433333333,1085.85455555556,0.484596432097171,,0.0705428036728398,,
rf_06,2016,Winter,2016-07-23T06:00:00Z,,1967.20433333333,926.778333333333,1558.85933333333,5208.07566666667,1233.38655555555,0.377721918658759,,0.177950243554449,0.299315799751244,
rf_06,2017,Autumn,2017-05-31T07:30:00Z,,922.848666666667,285.622333333333,1219.32266666667,3143.06633333333,880.887555555557,0.293614123532657,,0.0908737847191474,0.387940481476742,
rf_06,2017,Spring,2017-09-17T05:00:00Z,,1977.775,667.605333333334,,4836.38733333333,1594.32844444444,0.408936436163577,,0.138038020390151,,
rf_06,2017,Summer,2017-12-12T05:30:00Z,,2000.63733333333,0,2163.99966666667,4677.06,1074.476,0.427755327777136,,0,0.462683751473505,
rf_06,2017,Winter,2017-08-13T06:00:00Z,,1963.49966666667,632.053,1725.00666666667,6457.72466666667,2152.25011111111,0.304054410495668,,0.097875495259579,0.267122981500089,
rf_06,2018,Autumn,2018-05-13T06:30:00Z,,1941.77933333333,261.992,1639.192,6595.06466666667,2359.84811111111,0.294429157480083,,0.0397254633944959,0.24854828312525,
rf_06,2018,Summer,2018-02-24T06:00:00Z,,1427.671,445.711666666667,945.167666666666,5225.144,2013.63022222222,0.273230938707144,,0.0853013173735818,0.18088834808508,
rf_06,2018,Winter,2018-06-06T05:00:00Z,,1920.514,345.870666666667,1901.049,7143.12666666667,2644.53677777778,0.268861814947516,,0.0484200662828323,0.266136817770743,
rf_07,2014,Spring,2014-10-17T04:30:00Z,,,,3004.751,3751.43333333333,834.151133333333,,,,0.800960788320909,
rf_07,2014,Summer,2014-12-23T05:00:00Z,,,,2652.294,2964.20433333333,624.519333333333,,,,0.894774348102184,
rf_07,2014,Winter,2014-07-16T05:00:00Z,,,,1945.32966666667,4428.95233333333,920.653,,,,0.439230210726285,
rf_07,2015,Autumn,2015-05-24T05:30:00Z,,,,2042.80266666667,4623.39266666667,1038.26653333333,,,,0.441840616609246,
rf_07,2015,Spring,2015-09-19T05:30:00Z,,,,2456.67966666667,5145.08833333333,1212.2926,,,,0.477480561558225,
rf_07,2015,Summer,2015-02-08T04:30:00Z,,,,2759.03466666667,3332.296,772.5994,,,,0.827968063661413,
rf_07,2015,Winter,2015-06-23T05:00:00Z,,,,1284.66133333333,5678.14,1235.49846666667,,,,0.226246857832553,
rf_07,2016,Autumn,2016-04-14T05:00:00Z,,,,2395.91833333333,4483.755,955.873799999999,,,,0.534355318997878,
rf_07,2016,Spring,2016-10-25T04:00:00Z,,,,2696.04866666667,5131.19966666667,1074.58,,,,0.525422677308926,
rf_07,2016,Summer,2016-02-13T05:30:00Z,,,,2906.649,3353.00033333333,751.552866666667,,,,0.866880021186995,
rf_07,2016,Winter,2016-08-13T05:30:00Z,,,,1932.185,5912.32233333333,1566.27246666667,,,,0.326806437650812,
rf_07,2017,Autumn,2017-05-18T05:00:00Z,,,,1298.49,3844.477,832.5718,,,,0.33775465427417,
rf_07,2017,Spring,2017-09-06T05:00:00Z,,,,1614.25166666667,4868.51933333333,1304.5306,,,,0.331569324499619,
rf_07,2017,Summer,2017-12-27T04:30:00Z,,,,1995.871,3181.075,819.165466666667,,,,0.627420290310666,
rf_07,2017,Winter,2017-07-02T05:00:00Z,,,,1535.58933333333,5193.88866666667,1332.93133333333,,,,0.295653109237484,
rf_07,2018,Autumn,2018-05-05T05:30:00Z,,,,2161.74033333333,4213.44966666667,1163.79126666667,,,,0.513057115748939,
rf_07,2018,Summer,2018-01-26T05:00:00Z,,,,2609.74633333333,2822.16866666667,601.523666666667,,,,0.924730815757997,
rf_07,2018,Winter,2018-06-24T05:00:00Z,,,,2734.70766666667,5288.16633333333,1111.8022,,,,0.517137225701235,
rf_08,2014,Autumn,2014-05-30T09:00:00Z,535.486,2300.35133333333,,0,3618.503,493.422777777779,0.635719062090961,0.147985506713688,,0,
rf_08,2014,Spring,2014-09-14T08:30:00Z,955.4,2265.04166666667,,0,6293.336,2102.64288888889,0.359911129274946,0.151811376351112,,0,
rf_08,2014,Summer,2014-12-20T06:30:00Z,0,2311.77233333333,,0,4343.126,1095.17744444445,0.532283045284279,0,,0,
rf_08,2014,Winter,2014-07-01T08:30:00Z,1308.72233333333,2259.51566666667,,0,6347.03366666667,2070.47466666667,0.355995538283212,0.206194326683105,,0,
rf_08,2015,Autumn,2015-04-13T05:00:00Z,629.502,0,,2269.14866666667,5707.76633333333,1996.65811111111,0,0.110288677433011,,0.397554583377888,
rf_08,2015,Spring,2015-09-05T08:30:00Z,456.479333333333,2283.23333333333,,619.420666666667,6284.24533333333,2042.57644444444,0.363326574986251,0.0726386875623782,,0.0985672318330879,
rf_08,2015,Summer,2015-12-24T07:00:00Z,0,2290.37233333333,,0,4764.96366666667,1517.76522222222,0.480669422383143,0,,0,
rf_08,2015,Winter,2015-08-25T05:30:00Z,1255.89633333333,1919.20433333333,,2258.97133333333,6655.24466666667,1740.58844444444,0.288374722411908,0.188707763010365,,0.339427240691476,
rf_08,2016,Autumn,2016-05-10T05:00:00Z,361.848333333333,2286.12433333333,,1963.44933333333,5956.63333333333,1424.36755555556,0.383794705062703,0.0607471222558604,,0.329624004611105,
rf_08,2016,Spring,2016-09-10T05:00:00Z,0,2292.589,,2730.112,6248.49566666667,1449.31633333333,0.366902550998008,0,,0.436923084473612,
rf_08,2016,Summer,2016-01-03T07:00:00Z,0,2307.31633333333,,0,4422.732,1110.12744444445,0.521694810658509,0,,0,
rf_08,2016,Winter,2016-07-29T09:00:00Z,667.088666666667,2272.19266666667,,0,7882.44766666667,3011.77333333333,0.288259784619355,0.0846296347120267,,0,
rf_08,2017,Autumn,2017-05-13T06:00:00Z,481.108,2269.711,,3480.848,7318.903,1811.82422222222,0.31011628382013,0.0657349878800143,,0.475596957631492,
rf_08,2017,Summer,2017-01-21T04:00:00Z,0,2293.635,,1400.88966666667,4402.41833333333,749.514555555555,0.520994332281765,0,,0.318209120668906,
rf_09,2014,Spring,2014-09-10T06:00:00Z,,,,,2383.872,421.778666666666,,,,,
rf_09,2014,Summer,2014-12-31T05:00:00Z,,,,,2494.15366666667,539.425944444444,,,,,
rf_09,2014,Winter,2014-08-09T07:30:00Z,,,,,4337.213,1166.67216666667,,,,,
rf_09,2015,Autumn,2015-03-19T06:00:00Z,,,,,3827.79633333333,767.351944444445,,,,,
