circuitLabel,nObs,nDwellings,meanW,minW,maxW
Laundry & Bedrooms_Imag,7583,1,4.98796472027775,-113.905666666667,439.699333333333
Laundry & Freezer,32529,1,131.294286062798,0,1633.09633333333
Laundry & Fridge Freezer,58798,1,55.9607736416425,0,1136.26766666667
Laundry & Garage,69907,2,205.805606820732,0,3457.71933333333
Laundry & Garage Freezer,24373,1,104.939073460894,0,2209.19
Laundry & Garage Fridge,27332,1,37.1885105366048,0,1716.55
Laundry & Hob,18032,1,92.1820310763679,0,3457.229
Laundry & Kitchen,24801,1,15.0038779047609,0,1073.84933333333
Laundry & Kitchen Appliances,13040,1,259.593195561277,-564.166666666667,4637.651
Laundry & Microwave,59477,1,172.131116570201,0,3690.156
Laundry & Teenagers Bedroom,53402,1,49.2878297872812,0,1804.799
"Laundry, Downstairs & Lounge",62810,1,237.563144894465,0,2799.643
"Laundry, Fridge & Freezer",70291,1,97.8648998488836,-25.632,1286.74766666667
"Laundry, Fridge & Microwave",13310,1,63.8395071185328,-26.4082608695652,993.04
"Laundry, Garage & 2 Bedrooms",19625,1,9.69388256989845,-1.472,1773.14066666667
"Laundry, Garage & Guest Bed",9878,1,11.1681839844571,0,343.22
"Laundry, Garage Fridge Freezer",26083,1,124.968893226908,25.64,2389.454
"Laundry, Lounge, Garage, Bed",29556,1,109.408461449645,0,871.608
"Laundry, Sauna & 2nd Fridge",64716,1,66.2845952945586,-7.44444444444445,2557.82266666667
Lighting,789233,20,106.146512543514,-127.277,3411.40133333333
Lighting & 2 Towel Rail,51274,1,278.26497412337,0,2101.948
Lighting (inc heat lamps),32529,1,361.125774317336,0,3528.90533333333
Lighting 1/2,9153,1,-1.72140477825326,-68.6086666666667,14.6
Lighting 2/2,9153,1,7.88390868998362,0,166.435666666667
Lighting1,19407,1,440.831531977624,41.4,2187.108
Lighting2,19407,1,42.5557261738402,-127.277,415.553
Lighting_Imag,7583,1,9.50665512354512,-96.2106666666667,471.371333333333
Lights,47813,2,79.8794687338102,0,1102.658
"Lounge, Dining & Bedrooms",17605,1,169.898890184422,0,3062.73433333333
Lower Bedrooms & Bathrooms,33684,1,43.3930199029789,-2.12833333333333,1429.15866666667
Mains,47813,2,1279.8539030208,25.467,10981.5883333333
Microwave,67153,1,42.5490559144336,0,1788.205
Microwave & Breadmaker,12416,1,59.2078365574942,0,756.951666666667
Oven,665749,15,37.4788395993999,-1067.563,3676.903
Oven & Hob,257423,4,57.7016494527148,-24.6446666666667,3919.073
Oven & Hobb,24801,1,26.5241586034097,0,2908.37133333333
Oven & Kitchen Appliances,18124,1,262.494126932493,39.1333333333333,3397.599
Oven & Oven Wall Appliances,30311,1,38.1806338718889,0,2495.70133333333
"Oven, Hob & Microwave",53402,1,37.4182837802764,0,3614.151
PV,70291,1,-799.585910401965,-4549.259,5.76666666666667
PV & Garage,2885,1,-489.754475647414,-3071.27033333333,93.182
PV & Storage,72954,1,-93.9416093898447,-2044.63066666667,2049.756
PV 1,70345,1,-594.140588930141,-3966.10633333333,38.1866666666667
PV 2,70345,1,-604.97651188548,-4037.073,27.978
Power Outlets,59477,1,37.4935474770359,-944.934,1939.86266666667
Range,28401,1,39.2112874722379,0,3550.979
Spa,64716,1,405.013319837173,0,3374.302
Spa (HEMS),72954,1,267.847663354387,0,2126.47
Spa - Uncontrolled,70927,1,29.1037882047739,0,3044.716
Theatre Heat Pump,70345,1,3.03021330865085,-3.26666666666667,999.087
Upstairs Heat Pumps,72683,1,147.743323484847,-46.29,2762.92566666667
Ventilation & Lounge Power,62880,1,396.925231758906,30.171,4409.60566666667
Wall Oven,19625,1,26.4018445633306,-2.42266666666667,2473.25533333333
Washing Machine,53554,1,3.65723042868096,-0.791666666666667,454.509333333333
Workshop,67153,1,18.5429831594075,-7.42857142857143,1759.15866666667
