region,regionName,r_dateTimeHalfHour,weekdays,peakPeriod,sumkWh,month
h,Hawke's bay,2015-06-23T07:00:00Z,Weekdays,Evening peak,88129,Jun
h,Hawke's bay,2015-06-23T20:30:00Z,Weekdays,Morning peak,88126,Jun
h,Hawke's bay,2015-07-10T00:30:00Z,Weekdays,Day time,88077,Jul
h,Hawke's bay,2015-06-16T05:30:00Z,Weekdays,Evening peak,88070,Jun
h,Hawke's bay,2015-06-15T05:30:00Z,Weekdays,Evening peak,88011,Jun
h,Hawke's bay,2015-06-22T06:00:00Z,Weekdays,Evening peak,87999,Jun
h,Hawke's bay,2015-05-27T07:30:00Z,Weekdays,Evening peak,87900,May
h,Hawke's bay,2015-06-23T08:30:00Z,Weekdays,Evening peak,87891,Jun
h,Hawke's bay,2015-07-22T08:00:00Z,Weekdays,Evening peak,87867,Jul
h,Hawke's bay,2015-06-08T07:00:00Z,Weekdays,Evening peak,87863,Jun
h,Hawke's bay,2015-07-14T08:00:00Z,Weekdays,Evening peak,87847,Jul
h,Hawke's bay,2015-06-25T20:30:00Z,Weekdays,Morning peak,87842,Jun
h,Hawke's bay,2015-06-22T19:30:00Z,Weekdays,Morning peak,87801,Jun
h,Hawke's bay,2015-07-09T04:00:00Z,Weekdays,Day time,87761,Jul
h,Hawke's bay,2015-06-17T05:30:00Z,Weekdays,Evening peak,87681,Jun
h,Hawke's bay,2015-06-15T06:00:00Z,Weekdays,Evening peak,87672,Jun
h,Hawke's bay,2015-07-07T22:00:00Z,Weekdays,Day time,87649,Jul
h,Hawke's bay,2015-06-22T20:00:00Z,Weekdays,Morning peak,87630,Jun
h,Hawke's bay,2015-06-17T06:30:00Z,Weekdays,Evening peak,87587,Jun
h,Hawke's bay,2015-07-14T08:30:00Z,Weekdays,Evening peak,87579,Jul
h,Hawke's bay,2015-06-24T22:30:00Z,Weekdays,Day time,87547,Jun
h,Hawke's bay,2015-07-15T06:00:00Z,Weekdays,Evening peak,87542,Jul
h,Hawke's bay,2015-07-08T22:30:00Z,Weekdays,Day time,87503,Jul
h,Hawke's bay,2015-06-08T05:30:00Z,Weekdays,Evening peak,87487,Jun
h,Hawke's bay,2015-06-24T00:30:00Z,Weekdays,Day time,87485,Jun
h,Hawke's bay,2015-07-14T05:30:00Z,Weekdays,Evening peak,87485,Jul
h,Hawke's bay,2015-06-17T07:30:00Z,Weekdays,Evening peak,87448,Jun
