region,regionName,Time_Period,hours,rDateTime,weekdays,peakPeriod,sumkWh,nObs,nRegions,nPOCs,nNetworks,nGenTypes,month
t,Taranaki,TP38,18,2015-08-07T06:30:00Z,Weekdays,Evening peak,77454,8,1,7,2,2,Aug
t,Taranaki,TP37,18,2015-06-25T06:00:00Z,Weekdays,Evening peak,77440,8,1,7,2,2,Jun
t,Taranaki,TP16,7,2015-08-23T19:30:00Z,Weekdays,Morning peak,77408,8,1,7,2,2,Aug
t,Taranaki,TP37,18,2015-07-08T06:00:00Z,Weekdays,Evening peak,77403,8,1,7,2,2,Jul
t,Taranaki,TP36,17,2015-07-28T05:30:00Z,Weekdays,Evening peak,77371,8,1,7,2,2,Jul
t,Taranaki,TP18,8,2015-08-10T20:30:00Z,Weekdays,Morning peak,77329,8,1,7,2,2,Aug
t,Taranaki,TP36,17,2015-06-29T05:30:00Z,Weekdays,Evening peak,77320,8,1,7,2,2,Jun
t,Taranaki,TP15,7,2015-08-11T19:00:00Z,Weekdays,Morning peak,77319,8,1,7,2,2,Aug
t,Taranaki,TP40,19,2015-08-11T07:30:00Z,Weekdays,Evening peak,77279,8,1,7,2,2,Aug
t,Taranaki,TP16,7,2015-08-26T19:30:00Z,Weekdays,Morning peak,77209,8,1,7,2,2,Aug
t,Taranaki,TP37,18,2015-07-28T06:00:00Z,Weekdays,Evening peak,77201,8,1,7,2,2,Jul
t,Taranaki,TP37,18,2015-08-13T06:00:00Z,Weekdays,Evening peak,77163,8,1,7,2,2,Aug
t,Taranaki,TP15,7,2015-08-12T19:00:00Z,Weekdays,Morning peak,77034,8,1,7,2,2,Aug
t,Taranaki,TP36,17,2015-08-14T05:30:00Z,Weekdays,Evening peak,77016,8,1,7,2,2,Aug
t,Taranaki,TP36,17,2015-08-19T05:30:00Z,Weekdays,Evening peak,76990,8,1,7,2,2,Aug
t,Taranaki,TP37,18,2015-08-09T06:00:00Z,Weekends,Evening peak,76928,8,1,7,2,2,Aug
t,Taranaki,TP36,17,2015-08-03T05:30:00Z,Weekdays,Evening peak,76926,8,1,7,2,2,Aug
t,Taranaki,TP34,16,2015-08-25T04:30:00Z,Weekdays,Day time,76906,8,1,7,2,2,Aug
t,Taranaki,TP34,16,2015-08-24T04:30:00Z,Weekdays,Day time,76839,8,1,7,2,2,Aug
t,Taranaki,TP17,8,2015-08-23T20:00:00Z,Weekdays,Morning peak,76833,8,1,7,2,2,Aug
t,Taranaki,TP34,16,2015-08-04T04:30:00Z,Weekdays,Day time,76811,8,1,7,2,2,Aug
t,Taranaki,TP37,18,2015-08-20T06:00:00Z,Weekdays,Evening peak,76781,8,1,7,2,2,Aug
t,Taranaki,TP15,7,2015-08-10T19:00:00Z,Weekdays,Morning peak,76762,8,1,7,2,2,Aug
t,Taranaki,TP16,7,2015-08-19T19:30:00Z,Weekdays,Morning peak,76748,8,1,7,2,2,Aug
t,Taranaki,TP37,18,2015-07-29T06:00:00Z,Weekdays,Evening peak,76746,8,1,7,2,2,Jul
t,Taranaki,TP36,17,2015-08-25T05:30:00Z,Weekdays,Evening peak,76744,8,1,7,2,2,Aug
t,Taranaki,TP38,18,2015-08-31T06:30:00Z,Weekdays,Evening peak,76731,8,1,7,2,2,Aug
t,Taranaki,TP18,8,2015-08-11T20:30:00Z,Weekdays,Morning peak,76690,8,1,7,2,2,Aug
t,Taranaki,TP38,18,2015-08-20T06:30:00Z,Weekdays,Evening peak,76685,8,1,7,2,2,Aug
t,Taranaki,TP37,18,2015-07-30T06:00:00Z,Weekdays,Evening peak,76626,8,1,7,2,2,Jul
t,Taranaki,TP37,18,2015-08-03T06:00:00Z,Weekdays,Evening peak,76612,8,1,7,2,2,Aug
t,Taranaki,TP36,17,2015-07-06T05:30:00Z,Weekdays,Evening peak,76588,8,1,7,2,2,Jul
