"","obsHalfHour","eecaCircuit","year","season","davgW"
"101",00:00:00,"XX_Other",2015,"Spring",186.248341340099
"102",00:00:00,"XX_Other",2015,"Summer",145.3840014926
"103",00:00:00,"XX_Other",2015,"Winter",265.865028581018
"104",00:00:00,"XX_Other",2016,"Autumn",169.506216060972
"105",00:00:00,"XX_Other",2016,"Spring",181.550695018489
"106",00:00:00,"XX_Other",2016,"Summer",183.690560346828
"107",00:00:00,"XX_Other",2016,"Winter",242.369385546985
"108",00:00:00,"XX_Other",2017,"Autumn",191.912827902705
"109",00:00:00,"XX_Other",2017,"Spring",198.957833157491
"110",00:00:00,"XX_Other",2017,"Summer",199.228584503179
"111",00:00:00,"XX_Other",2017,"Winter",265.162702776642
"112",00:00:00,"XX_Other",2018,"Autumn",211.182683301976
"113",00:00:00,"XX_Other",2018,"Summer",201.677061342078
"114",00:00:00,"XX_Other",2018,"Winter",314.519631895148
"115",00:30:00,"Heat Pump or Heating",2014,"Autumn",322.021016949153
"116",00:30:00,"Heat Pump or Heating",2014,"Spring",91.2419525816057
"117",00:30:00,"Heat Pump or Heating",2014,"Summer",44.231160390516
"118",00:30:00,"Heat Pump or Heating",2014,"Winter",199.954417519909
"119",00:30:00,"Heat Pump or Heating",2015,"Autumn",61.6611142189012
"120",00:30:00,"Heat Pump or Heating",2015,"Spring",44.8692816586225
"121",00:30:00,"Heat Pump or Heating",2015,"Summer",6.83094383661561
"122",00:30:00,"Heat Pump or Heating",2015,"Winter",97.8174807322997
"123",00:30:00,"Heat Pump or Heating",2016,"Autumn",9.77031040723982
"124",00:30:00,"Heat Pump or Heating",2016,"Spring",14.2266496637257
"125",00:30:00,"Heat Pump or Heating",2016,"Summer",1.45978252372976
"126",00:30:00,"Heat Pump or Heating",2016,"Winter",53.80654162374
"127",00:30:00,"Heat Pump or Heating",2017,"Autumn",16.2139622833843
"128",00:30:00,"Heat Pump or Heating",2017,"Spring",20.924624984675
"129",00:30:00,"Heat Pump or Heating",2017,"Summer",6.08504622378077
"130",00:30:00,"Heat Pump or Heating",2017,"Winter",68.3297236467237
"131",00:30:00,"Heat Pump or Heating",2018,"Autumn",44.4270024743354
"132",00:30:00,"Heat Pump or Heating",2018,"Summer",17.37356107171
"133",00:30:00,"Heat Pump or Heating",2018,"Winter",102.193746293103
"134",00:30:00,"Hot water",2014,"Autumn",125.024650623886
"135",00:30:00,"Hot water",2014,"Spring",145.495236012017
"136",00:30:00,"Hot water",2014,"Summer",125.871363448276
"137",00:30:00,"Hot water",2014,"Winter",148.709901234568
"138",00:30:00,"Hot water",2015,"Autumn",116.780034031623
